recipe_name,ingredients,ingredient_quantities,steps
Ginataang Tahong sa Tanglad,"Tahong,Gata,Tanglad,Sibuyas,Bawang,Asin","500g Tahong, 2 cups Gata, 1 Tanglad stalk, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Pakuluan ang tahong. 2. Igisa ang bawang at sibuyas. 3. Idagdag ang gata at tanglad."
Pritong Kalabasa,"Kalabasa,Asin","300g Kalabasa, 1 tsp Asin","1. Hiwain ang kalabasa. 2. Timplahan. 3. Iprito."
Okra Steam,"Okra,Asin","10 Okra, 1 tsp Asin","1. Pakuluan ang tubig. 2. I-steam ang okra. 3. Timplahan ng asin."
Ginataang Okra,"Okra,Gata,Bawang,Sibuyas,Asin","10 Okra, 2 cups Gata, 3 Bawang, 1 Sibuyas, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Ilagay ang okra. 3. Ibuhos ang gata."
Inihaw na Pusit,"Pusit,Asin,Paminta","500g Pusit, 1 tsp Asin, 1/2 tsp Paminta","1. Timplahan ang pusit. 2. I-ihaw."
Ginataang Talbos na Mais,"Mais,DahonSibuyas,Gata,Bawang,Sibuyas,Asin","1 Mais, 1 cup DahonSibuyas, 2 cups Gata, 3 Bawang, 1 Sibuyas, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Idagdag ang mais at dahon sibuyas. 3. Ibuhos ang gata."
Pinakuluang Manok,"Manok,Asin,Paminta","1 kilo Manok, 1 tsp Asin, 1/2 tsp Paminta","1. Ilagay ang manok sa tubig. 2. Pakuluin. 3. Timplahan."
Kalabasa Mash,"Kalabasa,Asin","300g Kalabasa, 1 tsp Asin","1. Pakuluan ang kalabasa. 2. Durugin. 3. Timplahan."
Hipon Soup,"Hipon,Sibuyas,Bawang,Asin","300g Hipon, 1 Sibuyas, 3 Bawang, 1 tsp Asin","1. Pakuluan ang tubig. 2. Ilagay ang hipon. 3. Dagdagan ng bawang at sibuyas."
Papaya Guisado,"Papaya,Bawang,Sibuyas,Asin","1 Papaya, 3 Bawang, 1 Sibuyas, 1 tsp Asin","1. Igisa ang bawang at sibuyas. 2. Idagdag ang papaya. 3. Timplahan."
Kamatis Omelette,"Kamatis,Itlog,Sibuyas,Asin","2 Kamatis, 2 Itlog, 1 Sibuyas, 1 tsp Asin","1. Haluin ang itlog, kamatis at sibuyas. 2. Iprito."
Ginataang Isda,"Isda,Gata,Bawang,Sibuyas,Asin,Paminta","2 Isda, 2 cups Gata, 3 Bawang, 1 Sibuyas, 1 tsp Asin, 1/2 tsp Paminta","1. Ilagay ang isda sa kawali. 2. Ibuhos ang gata. 3. Dagdagan ng bawang at sibuyas."
